Number of Updates,Detm,Rand,TwoRand,TwoDifRand
10,0.42,0.42,0.42,0.42
20,0.36,0.36,0.36,0.36
30,0.33,0.3,0.33,0.3
40,0.28,0.25,0.29,0.24
50,0.24,0.21,0.25,0.2
60,0.21,0.19,0.22,0.17
70,0.19,0.16,0.19,0.15
80,0.17,0.15,0.17,0.13
90,0.15,0.13,0.16,0.12
100,0.14,0.12,0.14,0.11
110,0.12,0.11,0.13,0.1
120,0.11,0.1,0.12,0.09
130,0.1,0.09,0.11,0.09
140,0.1,0.09,0.1,0.08
150,0.09,0.08,0.1,0.08
160,0.09,0.08,0.09,0.07
170,0.08,0.07,0.08,0.07
180,0.08,0.07,0.08,0.06
190,0.07,0.06,0.07,0.06
200,0.07,0.06,0.07,0.06
210,0.07,0.06,0.07,0.06
220,0.06,0.06,0.06,0.05
230,0.06,0.05,0.06,0.05
240,0.06,0.05,0.06,0.05
250,0.06,0.05,0.06,0.05
260,0.05,0.05,0.05,0.04
270,0.05,0.05,0.05,0.04
280,0.05,0.04,0.05,0.04
290,0.05,0.04,0.05,0.04
300,0.05,0.04,0.05,0.04
310,0.04,0.04,0.05,0.04
320,0.04,0.04,0.04,0.04
330,0.04,0.04,0.04,0.04
340,0.04,0.04,0.04,0.03
350,0.04,0.04,0.04,0.03
360,0.04,0.03,0.04,0.03
370,0.04,0.03,0.04,0.03
380,0.04,0.03,0.04,0.03
390,0.04,0.03,0.04,0.03
400,0.03,0.03,0.04,0.03
410,0.03,0.03,0.03,0.03
420,0.03,0.03,0.03,0.03
430,0.03,0.03,0.03,0.03
440,0.03,0.03,0.03,0.03
450,0.03,0.03,0.03,0.03
460,0.03,0.03,0.03,0.03
470,0.03,0.03,0.03,0.02
480,0.03,0.03,0.03,0.02
490,0.03,0.03,0.03,0.02
500,0.03,0.02,0.03,0.02
510,0.03,0.02,0.03,0.02
520,0.03,0.02,0.03,0.02
530,0.03,0.02,0.03,0.02
540,0.03,0.02,0.03,0.02
550,0.03,0.02,0.03,0.02
560,0.02,0.02,0.03,0.02
570,0.02,0.02,0.03,0.02
580,0.02,0.02,0.02,0.02
590,0.02,0.02,0.02,0.02
600,0.02,0.02,0.02,0.02
610,0.02,0.02,0.02,0.02
620,0.02,0.02,0.02,0.02
630,0.02,0.02,0.02,0.02
640,0.02,0.02,0.02,0.02
650,0.02,0.02,0.02,0.02
660,0.02,0.02,0.02,0.02
670,0.02,0.02,0.02,0.02
680,0.02,0.02,0.02,0.02
690,0.02,0.02,0.02,0.02
700,0.02,0.02,0.02,0.02
710,0.02,0.02,0.02,0.02
720,0.02,0.02,0.02,0.02
730,0.02,0.02,0.02,0.02
740,0.02,0.02,0.02,0.02
750,0.02,0.02,0.02,0.02
760,0.02,0.02,0.02,0.02
770,0.02,0.02,0.02,0.02
780,0.02,0.02,0.02,0.01
790,0.02,0.02,0.02,0.01
800,0.02,0.02,0.02,0.01
810,0.02,0.02,0.02,0.01
820,0.02,0.01,0.02,0.01
830,0.02,0.01,0.02,0.01
840,0.02,0.01,0.02,0.01
850,0.02,0.01,0.02,0.01
860,0.02,0.01,0.02,0.01
870,0.02,0.01,0.02,0.01
880,0.02,0.01,0.02,0.01
890,0.02,0.01,0.02,0.01
900,0.02,0.01,0.02,0.01
910,0.02,0.01,0.02,0.01
920,0.01,0.01,0.02,0.01
930,0.01,0.01,0.02,0.01
940,0.01,0.01,0.02,0.01
950,0.01,0.01,0.01,0.01
960,0.01,0.01,0.01,0.01
970,0.01,0.01,0.01,0.01
980,0.01,0.01,0.01,0.01
990,0.01,0.01,0.01,0.01
1000,0.01,0.01,0.01,0.01
