Number of Updates,Detm,Rand,TwoRand,TwoDifDetm
10,0.01211,0.01172,0.01314,0.01386
20,0.01557,0.01078,0.01265,0.02918
30,0.01545,0.00969,0.01221,0.04418
40,0.0155,0.00857,0.01228,0.06298
50,0.01438,0.00777,0.01197,0.09109
60,0.01301,0.00696,0.01137,0.12036
70,0.01168,0.00621,0.0111,0.15254
80,0.01083,0.00557,0.01056,0.18478
90,0.00979,0.00499,0.01014,0.21299
100,0.00894,0.00452,0.00959,0.23646
110,0.00824,0.00414,0.00943,0.26431
120,0.00769,0.00381,0.00915,0.2846
130,0.0072,0.00353,0.00901,0.30482
140,0.00674,0.00328,0.00888,0.32457
150,0.00631,0.00307,0.00875,0.34168
160,0.00594,0.00288,0.00852,0.35503
170,0.00562,0.00271,0.00837,0.37021
180,0.00532,0.00256,0.0082,0.37974
190,0.00506,0.00243,0.00808,0.38995
200,0.00481,0.00231,0.00802,0.39782
210,0.00458,0.0022,0.00793,0.40766
220,0.00438,0.0021,0.00787,0.41405
230,0.00419,0.00201,0.00782,0.42383
240,0.00401,0.00193,0.00775,0.42746
250,0.00387,0.00185,0.00767,0.43468
260,0.00373,0.00178,0.00758,0.44468
270,0.0036,0.00171,0.00742,0.45258
280,0.00347,0.00165,0.00727,0.45867
290,0.00335,0.00159,0.00715,0.46375
300,0.00324,0.00154,0.00704,0.46827
310,0.00313,0.00149,0.00697,0.47222
320,0.00303,0.00144,0.00686,0.47627
330,0.00295,0.0014,0.00678,0.47923
340,0.00286,0.00136,0.00673,0.48473
350,0.00278,0.00132,0.00669,0.48763
360,0.0027,0.00128,0.00664,0.49204
370,0.00263,0.00125,0.0066,0.49622
380,0.00256,0.00122,0.00655,0.49881
390,0.00249,0.00119,0.00652,0.50279
400,0.00243,0.00116,0.00649,0.50572
410,0.00237,0.00113,0.00642,0.50729
420,0.00231,0.0011,0.00635,0.51208
430,0.00226,0.00108,0.00628,0.51595
440,0.00221,0.00105,0.00619,0.51893
450,0.00216,0.00103,0.0061,0.51958
460,0.00211,0.001,0.00604,0.52187
470,0.00207,0.00098,0.00596,0.52299
480,0.00203,0.00096,0.0059,0.52428
490,0.00198,0.00094,0.00584,0.52626
500,0.00194,0.00092,0.00578,0.52905
510,0.00191,0.00091,0.00572,0.53099
520,0.00187,0.00089,0.00568,0.53341
530,0.00183,0.00087,0.00568,0.53492
540,0.0018,0.00086,0.00566,0.53651
550,0.00177,0.00084,0.00564,0.53738
560,0.00174,0.00083,0.00562,0.53973
570,0.00171,0.00081,0.00561,0.5424
580,0.00168,0.0008,0.0056,0.54369
590,0.00165,0.00078,0.00558,0.54496
600,0.00162,0.00077,0.00556,0.5476
610,0.00159,0.00076,0.00553,0.54916
620,0.00157,0.00075,0.00549,0.55055
630,0.00154,0.00073,0.00546,0.55215
640,0.00152,0.00072,0.00544,0.55434
650,0.0015,0.00071,0.00545,0.55665
660,0.00147,0.0007,0.00544,0.55753
670,0.00145,0.00069,0.00543,0.55889
680,0.00143,0.00068,0.00541,0.56028
690,0.00141,0.00067,0.00538,0.56134
700,0.00139,0.00066,0.00535,0.56261
710,0.00137,0.00065,0.00533,0.56372
720,0.00135,0.00064,0.00531,0.5649
730,0.00133,0.00063,0.00527,0.56523
740,0.00131,0.00062,0.00524,0.56597
750,0.0013,0.00062,0.00521,0.56691
760,0.00128,0.00061,0.00519,0.56817
770,0.00126,0.0006,0.00516,0.56973
780,0.00125,0.00059,0.00513,0.57005
790,0.00123,0.00059,0.0051,0.57133
800,0.00122,0.00058,0.00506,0.57188
810,0.0012,0.00057,0.00504,0.57239
820,0.00119,0.00056,0.00501,0.57339
830,0.00117,0.00056,0.00499,0.57498
840,0.00116,0.00055,0.00495,0.57533
850,0.00114,0.00054,0.00491,0.57583
860,0.00113,0.00054,0.00487,0.57691
870,0.00112,0.00053,0.00484,0.57784
880,0.0011,0.00053,0.00481,0.57821
890,0.00109,0.00052,0.00477,0.57971
900,0.00108,0.00051,0.00474,0.57964
910,0.00107,0.00051,0.00471,0.58034
920,0.00106,0.0005,0.00468,0.58165
930,0.00105,0.0005,0.00465,0.58308
940,0.00103,0.00049,0.00464,0.58394
950,0.00102,0.00049,0.00462,0.58457
960,0.00101,0.00048,0.0046,0.58502
970,0.001,0.00048,0.00458,0.58574
980,0.00099,0.00047,0.00457,0.58642
990,0.00098,0.00047,0.00456,0.58705
1000,0.00097,0.00046,0.00454,0.58773
