Number of Updates,Detm,Rand,TwoRand,TwoDifRand
10,0.47,0.64,0.64,0.47
20,0.49,0.62,0.62,0.48
30,0.49,0.64,0.62,0.49
40,0.49,0.61,0.64,0.49
50,0.47,0.56,0.62,0.49
60,0.45,0.5,0.62,0.49
70,0.42,0.45,0.63,0.49
80,0.41,0.4,0.63,0.5
90,0.38,0.37,0.63,0.5
100,0.36,0.34,0.63,0.5
110,0.35,0.31,0.63,0.5
120,0.33,0.29,0.63,0.5
130,0.31,0.27,0.62,0.5
140,0.3,0.25,0.61,0.5
150,0.28,0.24,0.61,0.5
160,0.27,0.23,0.61,0.5
170,0.26,0.22,0.61,0.5
180,0.25,0.21,0.6,0.5
190,0.24,0.2,0.6,0.5
200,0.23,0.2,0.59,0.5
210,0.22,0.19,0.58,0.5
220,0.22,0.18,0.58,0.5
230,0.21,0.17,0.58,0.5
240,0.2,0.17,0.57,0.5
250,0.2,0.16,0.57,0.5
260,0.19,0.16,0.56,0.5
270,0.19,0.15,0.55,0.5
280,0.18,0.15,0.55,0.5
290,0.18,0.14,0.55,0.5
300,0.17,0.14,0.55,0.5
310,0.17,0.13,0.55,0.5
320,0.16,0.13,0.55,0.5
330,0.16,0.13,0.54,0.5
340,0.16,0.12,0.54,0.5
350,0.15,0.12,0.53,0.5
360,0.15,0.12,0.53,0.5
370,0.15,0.11,0.52,0.5
380,0.14,0.11,0.52,0.5
390,0.14,0.11,0.52,0.5
400,0.14,0.11,0.52,0.49
410,0.13,0.1,0.52,0.49
420,0.13,0.1,0.52,0.49
430,0.13,0.1,0.52,0.49
440,0.13,0.1,0.52,0.49
450,0.12,0.1,0.52,0.49
460,0.12,0.09,0.52,0.48
470,0.12,0.09,0.52,0.48
480,0.12,0.09,0.53,0.48
490,0.12,0.09,0.53,0.48
500,0.11,0.09,0.53,0.48
510,0.11,0.09,0.53,0.47
520,0.11,0.09,0.53,0.47
530,0.11,0.08,0.53,0.47
540,0.11,0.08,0.53,0.47
550,0.11,0.08,0.53,0.47
560,0.1,0.08,0.53,0.46
570,0.1,0.08,0.54,0.46
580,0.1,0.08,0.54,0.46
590,0.1,0.08,0.54,0.46
600,0.1,0.08,0.54,0.46
610,0.1,0.07,0.54,0.45
620,0.09,0.07,0.54,0.45
630,0.09,0.07,0.53,0.45
640,0.09,0.07,0.53,0.45
650,0.09,0.07,0.53,0.45
660,0.09,0.07,0.53,0.44
670,0.09,0.07,0.53,0.44
680,0.09,0.07,0.53,0.44
690,0.09,0.07,0.53,0.44
700,0.09,0.07,0.53,0.44
710,0.08,0.07,0.53,0.43
720,0.08,0.06,0.53,0.43
730,0.08,0.06,0.53,0.43
740,0.08,0.06,0.53,0.43
750,0.08,0.06,0.52,0.43
760,0.08,0.06,0.52,0.43
770,0.08,0.06,0.52,0.42
780,0.08,0.06,0.52,0.42
790,0.08,0.06,0.52,0.42
800,0.08,0.06,0.52,0.42
810,0.08,0.06,0.51,0.42
820,0.07,0.06,0.51,0.42
830,0.07,0.06,0.51,0.41
840,0.07,0.06,0.51,0.41
850,0.07,0.06,0.5,0.41
860,0.07,0.05,0.5,0.41
870,0.07,0.05,0.5,0.41
880,0.07,0.05,0.49,0.4
890,0.07,0.05,0.49,0.4
900,0.07,0.05,0.49,0.4
910,0.07,0.05,0.48,0.4
920,0.07,0.05,0.48,0.4
930,0.07,0.05,0.48,0.4
940,0.07,0.05,0.47,0.4
950,0.07,0.05,0.47,0.39
960,0.06,0.05,0.47,0.39
970,0.06,0.05,0.46,0.39
980,0.06,0.05,0.46,0.39
990,0.06,0.05,0.46,0.39
1000,0.06,0.05,0.45,0.39
