Number of Updates,Detm,Rand,TwoRand,TwoDifRand
10,0.5,0.72,0.7,0.5
20,0.5,0.69,0.72,0.5
30,0.5,0.72,0.73,0.5
40,0.49,0.72,0.74,0.5
50,0.46,0.73,0.74,0.5
60,0.43,0.74,0.75,0.5
70,0.4,0.74,0.76,0.5
80,0.37,0.74,0.76,0.5
90,0.34,0.74,0.76,0.5
100,0.32,0.73,0.76,0.5
110,0.3,0.73,0.76,0.5
120,0.28,0.74,0.75,0.5
130,0.27,0.74,0.75,0.5
140,0.25,0.73,0.74,0.5
150,0.24,0.74,0.73,0.5
160,0.23,0.74,0.74,0.49
170,0.22,0.73,0.74,0.49
180,0.22,0.73,0.74,0.48
190,0.21,0.73,0.74,0.48
200,0.2,0.73,0.74,0.47
210,0.2,0.73,0.74,0.46
220,0.19,0.73,0.74,0.45
230,0.19,0.73,0.74,0.45
240,0.18,0.73,0.74,0.44
250,0.18,0.73,0.74,0.43
260,0.17,0.73,0.74,0.43
270,0.17,0.73,0.74,0.43
280,0.16,0.73,0.74,0.42
290,0.16,0.73,0.74,0.42
300,0.15,0.73,0.74,0.41
310,0.15,0.73,0.74,0.4
320,0.15,0.73,0.74,0.4
330,0.14,0.73,0.74,0.39
340,0.14,0.73,0.74,0.38
350,0.14,0.73,0.74,0.38
360,0.14,0.73,0.73,0.37
370,0.13,0.73,0.74,0.37
380,0.13,0.73,0.74,0.36
390,0.13,0.73,0.74,0.36
400,0.13,0.73,0.74,0.35
410,0.13,0.73,0.74,0.35
420,0.12,0.73,0.74,0.34
430,0.12,0.73,0.74,0.34
440,0.12,0.73,0.74,0.34
450,0.12,0.73,0.74,0.33
460,0.12,0.73,0.74,0.33
470,0.12,0.73,0.73,0.32
480,0.11,0.73,0.74,0.32
490,0.11,0.73,0.74,0.32
500,0.11,0.73,0.74,0.31
510,0.11,0.73,0.74,0.31
520,0.11,0.73,0.73,0.3
530,0.1,0.73,0.73,0.3
540,0.1,0.73,0.73,0.3
550,0.1,0.73,0.74,0.29
560,0.1,0.73,0.74,0.29
570,0.1,0.73,0.74,0.29
580,0.1,0.73,0.74,0.28
590,0.1,0.73,0.73,0.28
600,0.1,0.73,0.73,0.28
610,0.09,0.73,0.73,0.28
620,0.09,0.73,0.73,0.27
630,0.09,0.73,0.73,0.27
640,0.09,0.73,0.73,0.27
650,0.09,0.73,0.73,0.27
660,0.09,0.73,0.73,0.26
670,0.09,0.73,0.73,0.26
680,0.09,0.73,0.73,0.26
690,0.09,0.73,0.73,0.26
700,0.08,0.73,0.73,0.25
710,0.08,0.73,0.73,0.25
720,0.08,0.73,0.73,0.25
730,0.08,0.73,0.73,0.25
740,0.08,0.73,0.73,0.25
750,0.08,0.73,0.73,0.24
760,0.08,0.73,0.73,0.24
770,0.08,0.73,0.73,0.24
780,0.08,0.73,0.73,0.24
790,0.08,0.73,0.73,0.24
800,0.08,0.73,0.73,0.24
810,0.08,0.73,0.73,0.23
820,0.08,0.73,0.73,0.23
830,0.08,0.73,0.73,0.23
840,0.07,0.73,0.73,0.23
850,0.07,0.73,0.73,0.23
860,0.07,0.73,0.73,0.22
870,0.07,0.73,0.73,0.22
880,0.07,0.73,0.73,0.22
890,0.07,0.73,0.73,0.22
900,0.07,0.73,0.73,0.22
910,0.07,0.73,0.73,0.22
920,0.07,0.73,0.73,0.21
930,0.07,0.73,0.73,0.21
940,0.07,0.73,0.73,0.21
950,0.07,0.73,0.73,0.21
960,0.07,0.73,0.73,0.21
970,0.07,0.73,0.73,0.21
980,0.07,0.73,0.73,0.21
990,0.07,0.73,0.73,0.21
1000,0.07,0.73,0.73,0.2
