Number of Updates,Detm,Rand,TwoRand,TwoDifDetm
10,0.01285,0.01079,0.01149,0.01264
20,0.01435,0.01102,0.01232,0.01595
30,0.01456,0.01154,0.01229,0.01664
40,0.01343,0.01281,0.01277,0.01682
50,0.01283,0.01312,0.01275,0.01861
60,0.01179,0.01295,0.01284,0.02059
70,0.01126,0.01339,0.01277,0.02311
80,0.01059,0.01382,0.01263,0.02549
90,0.0101,0.01403,0.01249,0.02797
100,0.0096,0.01412,0.01221,0.02901
110,0.00914,0.01408,0.01195,0.03047
120,0.00869,0.0138,0.01155,0.03184
130,0.00856,0.01358,0.01115,0.03308
140,0.00836,0.01351,0.01076,0.03397
150,0.008,0.0135,0.01043,0.03448
160,0.00768,0.01331,0.01012,0.03503
170,0.0076,0.01327,0.00993,0.03535
180,0.00741,0.013,0.00977,0.03567
190,0.00719,0.01289,0.00973,0.03585
200,0.00699,0.01276,0.00967,0.03572
210,0.00679,0.01255,0.00952,0.03633
220,0.00657,0.01239,0.00942,0.03681
230,0.00636,0.01232,0.00929,0.03713
240,0.00616,0.01242,0.00909,0.03752
250,0.00601,0.0127,0.00895,0.03784
260,0.00587,0.01299,0.00879,0.03861
270,0.00569,0.0132,0.00869,0.03881
280,0.00556,0.01336,0.00867,0.03883
290,0.00546,0.01352,0.00877,0.03913
300,0.00532,0.01348,0.00881,0.03912
310,0.00518,0.01349,0.0088,0.03908
320,0.00506,0.01349,0.00874,0.03917
330,0.00496,0.01347,0.0086,0.03899
340,0.00489,0.01336,0.00848,0.03899
350,0.00477,0.01319,0.00836,0.03912
360,0.00468,0.01307,0.0083,0.03934
370,0.00463,0.01295,0.0082,0.03956
380,0.00454,0.01282,0.00811,0.03973
390,0.00445,0.01271,0.00804,0.03982
400,0.00437,0.01256,0.00798,0.03992
410,0.00428,0.01237,0.00788,0.03986
420,0.00419,0.01224,0.0078,0.04007
430,0.0041,0.01214,0.00772,0.04034
440,0.00401,0.01204,0.00761,0.0404
450,0.00397,0.01194,0.0075,0.0403
460,0.0039,0.01184,0.00741,0.04049
470,0.00386,0.01175,0.00732,0.04062
480,0.00378,0.01167,0.00724,0.04057
490,0.00372,0.01159,0.0072,0.04064
500,0.00365,0.01155,0.00718,0.04096
510,0.0036,0.01146,0.00717,0.04086
520,0.00355,0.01136,0.00712,0.04095
530,0.0035,0.01127,0.00707,0.04094
540,0.00344,0.01119,0.00702,0.04091
550,0.00338,0.01111,0.00696,0.04094
560,0.00332,0.01105,0.00691,0.0409
570,0.00327,0.01098,0.00689,0.04111
580,0.00323,0.01091,0.00686,0.04111
590,0.00318,0.01084,0.00683,0.04105
600,0.00314,0.01079,0.00682,0.04115
610,0.0031,0.01072,0.00679,0.04128
620,0.00305,0.01064,0.00675,0.04139
630,0.00301,0.01059,0.0067,0.04145
640,0.00297,0.01053,0.00665,0.04148
650,0.00293,0.01049,0.00662,0.04154
660,0.00289,0.01045,0.00658,0.04159
670,0.00286,0.01042,0.00655,0.0417
680,0.00282,0.01039,0.00649,0.04178
690,0.00279,0.01034,0.00644,0.04184
700,0.00277,0.0103,0.00639,0.04177
710,0.00274,0.01026,0.00634,0.04181
720,0.00271,0.01022,0.00629,0.04174
730,0.00267,0.01017,0.00623,0.04177
740,0.00264,0.01012,0.00618,0.04179
750,0.00265,0.01006,0.00613,0.04187
760,0.00264,0.01,0.00609,0.04185
770,0.00261,0.00993,0.00604,0.04189
780,0.00258,0.00987,0.006,0.0419
790,0.00256,0.00983,0.00596,0.04206
800,0.00253,0.00978,0.00591,0.04211
810,0.00251,0.00972,0.00586,0.04211
820,0.00248,0.00967,0.00582,0.04222
830,0.00245,0.00964,0.00578,0.04232
840,0.00243,0.0096,0.00574,0.04232
850,0.00241,0.00955,0.0057,0.04226
860,0.00239,0.00949,0.00566,0.04237
870,0.00237,0.00943,0.00562,0.04239
880,0.00234,0.00938,0.00558,0.04238
890,0.00232,0.00933,0.00555,0.04251
900,0.0023,0.00928,0.00552,0.04248
910,0.00227,0.00923,0.00549,0.04256
920,0.00225,0.00919,0.00547,0.04261
930,0.00223,0.00913,0.00545,0.04272
940,0.00222,0.00908,0.00543,0.04269
950,0.0022,0.00903,0.00541,0.0427
960,0.00219,0.00898,0.00538,0.04269
970,0.00217,0.00893,0.00536,0.04276
980,0.00216,0.00888,0.00533,0.04278
990,0.00214,0.00882,0.0053,0.04273
1000,0.00213,0.00877,0.00527,0.04275
